"Result","2.5%","50%","97.5%","date","day"
"AB","  649.000"," 1546.0","  3028.025","2021-11-30","  1"
"AB","  626.000"," 1480.0","  2888.000","2021-12-01","  2"
"AB","  605.975"," 1423.0","  2767.000","2021-12-02","  3"
"AB","  577.000"," 1369.0","  2688.000","2021-12-03","  4"
"AB","  558.975"," 1329.0","  2589.000","2021-12-04","  5"
"AB","  548.000"," 1294.0","  2538.000","2021-12-05","  6"
"AB","  541.000"," 1266.0","  2470.000","2021-12-06","  7"
"AB","  530.000"," 1250.0","  2446.000","2021-12-07","  8"
"AB","  525.000"," 1242.0","  2421.000","2021-12-08","  9"
"AB","  528.000"," 1250.0","  2447.000","2021-12-09"," 10"
"AB","  533.000"," 1262.0","  2465.000","2021-12-10"," 11"
"AB","  545.000"," 1301.0","  2544.000","2021-12-11"," 12"
"AB","  576.000"," 1362.0","  2659.000","2021-12-12"," 13"
"AB","  613.000"," 1444.0","  2826.000","2021-12-13"," 14"
"AB","  656.000"," 1555.0","  3023.000","2021-12-14"," 15"
"AB","  729.000"," 1711.0","  3348.000","2021-12-15"," 16"
"AB","  809.000"," 1920.0","  3746.025","2021-12-16"," 17"
"AB","  925.000"," 2179.0","  4246.000","2021-12-17"," 18"
"AB"," 1065.000"," 2510.0","  4914.000","2021-12-18"," 19"
"AB"," 1248.000"," 2941.0","  5744.000","2021-12-19"," 20"
"AB"," 1483.975"," 3486.0","  6799.000","2021-12-20"," 21"
"AB"," 1771.975"," 4176.0","  8114.000","2021-12-21"," 22"
"AB"," 2137.000"," 5027.0","  9815.000","2021-12-22"," 23"
"AB"," 2582.000"," 6112.0"," 11896.025","2021-12-23"," 24"
"AB"," 3174.975"," 7453.0"," 14522.025","2021-12-24"," 25"
"AB"," 3843.975"," 9105.0"," 17785.025","2021-12-25"," 26"
"AB"," 4731.000","11167.0"," 21745.050","2021-12-26"," 27"
"AB"," 5787.000","13686.0"," 26777.000","2021-12-27"," 28"
"AB"," 7083.000","16757.0"," 32746.000","2021-12-28"," 29"
"AB"," 8692.975","20398.0"," 39975.025","2021-12-29"," 30"
"AB","10346.975","24430.0"," 47548.050","2021-12-30"," 31"
"AB","11853.950","27953.0"," 54332.075","2021-12-31"," 32"
"AB","13017.000","30505.0"," 59297.225","2022-01-01"," 33"
"AB","13629.000","32349.0"," 62837.050","2022-01-02"," 34"
"AB","14511.975","34186.0"," 66811.050","2022-01-03"," 35"
"AB","15430.975","36202.5"," 70449.000","2022-01-04"," 36"
"AB","16320.950","38620.0"," 75133.100","2022-01-05"," 37"
"AB","17609.975","41228.5"," 80161.075","2022-01-06"," 38"
"AB","18632.950","43737.0"," 85464.025","2022-01-07"," 39"
"AB","19823.975","46745.0"," 91259.325","2022-01-08"," 40"
"AB","21187.000","49750.5"," 97301.375","2022-01-09"," 41"
"AB","22356.950","52800.0","103106.425","2022-01-10"," 42"
"AB","23620.975","55644.0","108546.025","2022-01-11"," 43"
"AB","24891.950","58587.5","114008.125","2022-01-12"," 44"
"AB","26189.000","61411.5","120022.075","2022-01-13"," 45"
"AB","26934.975","64042.0","125275.225","2022-01-14"," 46"
"AB","28271.975","66860.5","130142.075","2022-01-15"," 47"
"AB","29599.950","69088.0","134465.450","2022-01-16"," 48"
"AB","30287.000","71207.0","139101.025","2022-01-17"," 49"
"AB","30905.850","73096.0","142342.500","2022-01-18"," 50"
"AB","31570.000","75016.5","146170.075","2022-01-19"," 51"
"AB","32346.925","76473.0","148874.025","2022-01-20"," 52"
"AB","32882.925","77191.5","150918.150","2022-01-21"," 53"
"AB","32994.000","77982.5","151970.000","2022-01-22"," 54"
"AB","33312.950","78485.0","153221.050","2022-01-23"," 55"
"AB","33415.975","78672.0","153011.225","2022-01-24"," 56"
"AB","33341.900","78146.0","152292.425","2022-01-25"," 57"
