,Epi Wk,,Cases (from daily case CSVs),,,,,,,,,,,Hospitalizations,,,,,,,,,,,ICU,,,,,,,,,,,Deaths,,,,,,,,,,,New Hospitalizations,,,,,,,,,,,New ICU,,,,,,,,,,,New Deaths,,,,,,,,,,
,Starting,Ending,<10,10-19,20-29,30-39,40-49,50-59,60-69,70-79,80-89,90+,TOTAL,<10,10-19,20-29,30-39,40-49,50-59,60-69,70-79,80-89,90+,TOTAL,<10,10-19,20-29,30-39,40-49,50-59,60-69,70-79,80-89,90+,TOTAL,<10,10-19,20-29,30-39,40-49,50-59,60-69,70-79,80-89,90+,TOTAL,<10,10-19,20-29,30-39,40-49,50-59,60-69,70-79,80-89,90+,TOTAL,<10,10-19,20-29,30-39,40-49,50-59,60-69,70-79,80-89,90+,TOTAL,<10,10-19,20-29,30-39,40-49,50-59,60-69,70-79,80-89,90+,TOTAL
42,2020-10-11,2020-10-17,,,,,,,,,,,,9,5,32,73,82,140,171,200,128,53,893,0,0,8,18,27,52,68,79,25,5,282,0,0,0,0,4,7,27,42,101,72,253,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,2020-10-18,2020-10-24,,,,,,,,,,,,11,6,33,77,93,152,179,213,130,53,947,0,0,8,18,28,57,73,81,25,5,295,0,0,0,0,4,7,27,43,102,75,258,2,1,1,4,11,12,8,13,2,0,54,0,0,0,0,1,5,5,2,0,0,13,0,0,0,0,0,0,0,1,1,3,5
44,2020-10-25,2020-10-31,,,,,,,,,,,,11,7,38,87,103,168,185,222,139,58,"1,018",0,0,8,18,29,60,72,84,25,5,301,0,0,0,0,4,7,29,46,105,75,266,0,1,5,10,10,16,6,9,9,5,71,0,0,0,0,1,3,-1,3,0,0,6,0,0,0,0,0,0,2,3,3,0,8
45,2020-11-01,2020-11-07,,,,,,,,,,,,11,9,47,99,113,193,197,244,163,63,"1,139",0,0,9,24,32,69,79,92,29,5,339,0,0,0,0,4,9,29,49,112,76,279,0,2,9,12,10,25,12,22,24,5,121,0,0,1,6,3,9,7,8,4,0,38,0,0,0,0,0,2,0,3,7,1,13
46,2020-11-08,2020-11-14,,,,,,,,,,,,13,11,55,112,124,214,234,282,185,73,"1,303",0,0,9,25,34,72,93,106,35,7,381,0,0,0,1,4,11,31,52,121,82,302,2,2,8,13,11,21,37,38,22,10,164,0,0,0,1,2,3,14,14,6,2,42,0,0,0,1,0,2,2,3,9,6,23
47,2020-11-15,2020-11-21,,,,,,,,,,,,18,11,62,125,148,249,267,336,247,91,"1,554",0,0,9,26,40,77,99,115,44,7,417,0,0,0,1,4,14,35,59,140,101,354,5,0,7,13,24,35,33,54,62,18,251,0,0,0,1,6,5,6,9,9,0,36,0,0,0,0,0,3,4,7,19,19,52
48,2020-11-22,2020-11-28,,,,,,,,,,,,18,13,74,148,173,293,307,393,290,107,"1,816",0,0,9,30,44,88,110,133,47,7,468,0,0,0,1,4,15,37,77,172,129,435,0,2,12,23,25,44,40,57,43,16,262,0,0,0,4,4,11,11,18,3,0,51,0,0,0,0,0,1,2,18,32,28,81
49,2020-11-29,2020-12-05,,,,,,,,,,,,20,15,90,169,193,317,352,441,347,121,"2,065",0,0,11,35,51,96,123,142,54,8,520,0,0,0,1,6,15,41,99,219,178,559,2,2,16,21,20,24,45,48,57,14,249,0,0,2,5,7,8,13,9,7,1,52,0,0,0,0,2,0,4,22,47,49,124
50,2020-12-06,2020-12-12,,,,,,,,,,,,21,20,103,197,215,340,402,491,385,132,"2,306",0,0,13,37,53,102,141,153,59,7,565,0,0,0,1,8,17,46,124,262,220,678,1,5,13,28,22,23,50,50,38,11,241,0,0,2,2,2,6,18,11,5,-1,45,0,0,0,0,2,2,5,25,43,42,119
1,2021-01-03,2021-01-09,2398,5294,13100,10440,8601,7360,4796,2761,1985,1095,"57,830",36,31,142,285,304,449,573,685,549,207,"3,261",2,3,21,62,66,120,194,200,85,13,776,0,0,0,4,9,24,69,188,391,327,"1,012",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
