Epi Wk,Epi Wk,,Hospitalizations,,,,,,ICU,,,,,,Deaths,,,,,,Cumulative Hospitalizations,,,,,,Cumulative ICU,,,,,,Cumulative Deaths,,,,,,Cumulative,,,Cumulative Check,,,Hospitalizations,ICU,Death,Hospitalizations Extra Added,,,,,,ICU Extra Added,,,,,,Deaths Extra Added,,,,,,Cases,,,,,,,
,Starting,Ending,FH,IH,VIH,NH,VCH,Outside Canada,FH,IH,VIH,NH,VCH,Outside Canada,FH,IH,VIH,NH,VCH,Outside Canada,FH,IH,VIH,NH,VCH,Outside Canada,FH,IH,VIH,NH,VCH,Outside Canada,FH,IH,VIH,NH,VCH,Outside Canada,Hosp,ICU,Deaths,Hosp,ICU,Deaths,(New-All / day),,,FH,IH,VIH,NH,VCH,Outside Canada,FH,IH,VIH,NH,VCH,Outside Canada,FH,IH,VIH,NH,VCH,Outside Canada,FH,IH,VIH,NH,VCH,Total,Hosp per prev week,Positivity
42,2020-10-11,2020-10-17,22,3,1,0,11,0,7,2,0,0,1,0,2,0,0,0,1,0,474,45,26,31,312,6,129,16,9,15,111,2,117,2,6,3,125,0,894,282,253,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,2020-10-18,2020-10-24,26,0,0,1,23,0,10,0,0,1,4,0,2,0,0,0,3,0,503,45,26,32,336,6,137,16,9,16,115,2,119,2,6,3,128,0,948,295,253,,,,7.7,2.1,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,
44,2020-10-25,2020-10-31,45,0,0,0,22,0,4,0,0,0,2,0,3,1,0,0,4,0,549,45,26,32,361,6,140,16,9,16,118,2,119,2,6,3,128,0,"1,019",301,266,,,,10.1,0.9,1.9,,,,,,,,,,,,,,,,,,,,,,,,,,
45,2020-11-01,2020-11-07,69,1,0,2,33,0,16,1,0,1,14,0,5,0,0,0,8,0,635,46,26,34,395,6,163,17,9,17,132,2,127,3,6,3,140,0,"1,142",340,279,,,,17.6,5.6,1.9,,,,,,,,,,,,,,,,,,,,,,,,,,
46,2020-11-08,2020-11-14,105,3,1,8,25,1,18,0,0,8,8,0,13,0,0,1,8,0,751,50,27,44,425,7,185,17,9,25,141,2,140,3,6,5,148,0,"1,304",381,302,,,,23.1,5.9,3.3,,,,,,,,,,,,,,,,,,,,,,,,,,
47,2020-11-15,2020-11-21,129,6,1,13,52,1,23,0,0,5,6,0,34,0,0,1,13,0,912,56,29,58,492,8,209,17,9,33,147,2,175,3,6,6,164,0,"1,555",417,354,,,,35.9,5.1,7.4,,,,,,,,,,,,,,,,,,,,,,,,,,
48,2020-11-22,2020-11-28,131,17,7,22,40,0,24,5,1,11,6,0,52,0,0,2,28,0,"1,075",74,37,82,542,7,235,22,10,46,153,2,230,3,6,8,188,0,"1,817",468,435,,,,37.4,7.3,11.7,,,,,,,,,,,,,,,,,,,,,,,,,,
49,2020-11-29,2020-12-05,129,10,6,20,46,1,32,4,1,6,5,0,68,3,1,1,25,0,"1,222",88,42,109,597,8,270,29,12,53,154,2,303,6,7,9,234,0,"2,066",520,559,,,,35.6,7.4,17.7,,,,,,,,,,,,,,,,,,,,,,,,,,
50,2020-12-06,2020-12-12,117,27,6,22,48,1,31,2,1,3,8,0,64,0,2,5,23,0,"1,353",119,47,131,650,9,301,32,12,56,162,2,376,6,8,15,273,0,"2,309",565,678,,,,34.7,6.4,17.0,,,,,,,,,,,,,,,,,,,,,,,,,,
101,Phase 1,,244,31,24,13,161,2,75,15,8,7,71,1,55,2,5,0,84,0,244,31,24,13,161,2,75,15,8,7,71,1,55,2,5,0,84,0,475,177,146,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102,Phase 2,,26,1,0,5,6,1,6,0,0,3,4,0,22,0,0,0,5,0,270,32,24,18,167,3,81,15,8,10,75,1,77,2,5,0,89,0,514,190,173,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103,Phase 3a,,104,7,0,7,39,2,26,3,0,4,14,1,20,0,0,1,23,0,374,39,24,25,206,5,107,18,8,14,89,2,97,2,5,1,112,0,673,238,217,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104,Phase 3b,,324,16,2,30,205,1,61,4,0,14,59,0,31,1,1,2,28,0,698,55,26,55,411,6,168,22,8,28,148,2,128,3,6,3,140,0,1251,376,280,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105,Phase 3c,2021-01-02,"1,109",160,29,166,363,3,197,43,6,37,79,0,408,31,6,30,202,0,"1,807",215,55,221,774,9,365,65,14,65,227,2,536,34,12,33,342,0,"3,081",738,957,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.5%
1,2021-01-03,2021-01-09,91,27,5,25,32,0,17,6,1,7,7,0,35,9,1,6,4,0,"1,898",242,60,246,806,9,382,71,15,72,234,2,571,43,13,39,346,0,"3,261",776,"1,012",0,0,0,25.7,5.4,7.9,,,,,,,,,,,,,,,,,,,,,,,,,,8.2%
2,2021-01-10,2021-01-16,94,27,16,34,30,0,12,8,5,10,13,0,29,8,4,13,7,0,"1,994",269,75,279,838,9,390,74,19,79,249,2,602,51,17,52,353,0,"3,464",813,"1,075",2,-11,2,29.0,6.9,9.0,2,0,-1,-1,2,0,-4,-5,-1,-3,2,0,2,0,0,0,0,0,"2,039",499,342,801,142,"3,823",,7.3%
