"Result","2.5%","50%","97.5%","date","day"
"AB"," 129.000"," 308.0","  606.000","2021-11-30","  1"
"AB"," 124.000"," 296.0","  580.000","2021-12-01","  2"
"AB"," 119.000"," 284.0","  556.000","2021-12-02","  3"
"AB"," 113.000"," 274.0","  540.000","2021-12-03","  4"
"AB"," 111.000"," 265.0","  526.000","2021-12-04","  5"
"AB"," 108.000"," 259.0","  510.000","2021-12-05","  6"
"AB"," 105.000"," 253.0","  500.000","2021-12-06","  7"
"AB"," 105.000"," 250.0","  492.000","2021-12-07","  8"
"AB"," 103.000"," 248.0","  485.000","2021-12-08","  9"
"AB"," 103.000"," 249.0","  489.000","2021-12-09"," 10"
"AB"," 105.000"," 253.0","  494.000","2021-12-10"," 11"
"AB"," 108.000"," 260.0","  510.000","2021-12-11"," 12"
"AB"," 113.000"," 271.0","  535.000","2021-12-12"," 13"
"AB"," 120.000"," 288.0","  566.000","2021-12-13"," 14"
"AB"," 130.000"," 311.0","  607.000","2021-12-14"," 15"
"AB"," 144.000"," 342.0","  669.000","2021-12-15"," 16"
"AB"," 161.000"," 381.0","  744.000","2021-12-16"," 17"
"AB"," 181.000"," 434.0","  849.000","2021-12-17"," 18"
"AB"," 210.000"," 499.0","  979.000","2021-12-18"," 19"
"AB"," 247.000"," 585.0"," 1144.000","2021-12-19"," 20"
"AB"," 292.000"," 692.0"," 1358.000","2021-12-20"," 21"
"AB"," 349.000"," 827.0"," 1614.025","2021-12-21"," 22"
"AB"," 420.000"," 996.0"," 1947.000","2021-12-22"," 23"
"AB"," 510.000","1204.0"," 2368.000","2021-12-23"," 24"
"AB"," 622.000","1463.0"," 2851.000","2021-12-24"," 25"
"AB"," 753.000","1782.0"," 3480.000","2021-12-25"," 26"
"AB"," 923.000","2180.0"," 4249.000","2021-12-26"," 27"
"AB","1123.000","2662.0"," 5181.000","2021-12-27"," 28"
"AB","1373.000","3226.0"," 6306.025","2021-12-28"," 29"
"AB","1649.000","3906.0"," 7644.000","2021-12-29"," 30"
"AB","1973.000","4620.0"," 9029.000","2021-12-30"," 31"
"AB","2241.000","5249.0","10229.000","2021-12-31"," 32"
"AB","2393.000","5633.0","11044.025","2022-01-01"," 33"
"AB","2496.000","5877.0","11421.000","2022-01-02"," 34"
"AB","2585.975","6102.5","11896.000","2022-01-03"," 35"
"AB","2681.000","6292.0","12392.000","2022-01-04"," 36"
"AB","2775.975","6537.0","12730.000","2022-01-05"," 37"
"AB","2882.000","6758.0","13235.025","2022-01-06"," 38"
"AB","2932.000","6958.0","13610.025","2022-01-07"," 39"
"AB","3012.000","7089.0","13810.025","2022-01-08"," 40"
"AB","3061.000","7171.0","13973.000","2022-01-09"," 41"
"AB","3070.000","7190.0","14047.000","2022-01-10"," 42"
"AB","2995.000","7114.0","13928.000","2022-01-11"," 43"
"AB","2969.000","6971.0","13672.000","2022-01-12"," 44"
"AB","2885.000","6758.0","13129.000","2022-01-13"," 45"
"AB","2765.000","6481.0","12630.000","2022-01-14"," 46"
"AB","2632.000","6169.5","12059.000","2022-01-15"," 47"
