Date,BEDCAP_ICU,VENTCAP_ICU,BEDCAP_OTHER,VENTCAP_OTHER,COVID_NEWICU,COVID_ICU,COVID_NEWOTHER,COVID_OTHER,COVID_VENT,VENTCAP_TOTAL,NONCOVID_ICU,NONCOVID_OTHER,NONCOVID_VENT,COVID_HOSP
2020-04-01,2813,2056,30121,525,0,193,0,327,127,2581,167,6514,106,520
2020-04-02,2852,2087,30168,546,0,225,0,346,155,2633,0,6514,0,571
2020-04-03,2852,2087,30036,546,0,228,0,368,167,2633,0,6514,0,596
2020-04-04,2852,2087,30401,546,0,233,0,435,169,2633,0,6514,0,668
2020-04-05,2852,2087,30741,546,0,254,0,443,177,2633,0,6514,0,697
2020-04-06,4148,2087,46589,546,0,433,0,838,322,2633,0,6514,0,1271
2020-04-07,4148,2087,46570,546,0,461,0,893,348,2633,0,6514,0,1354
2020-04-08,4148,2739,47310,604,0,493,0,951,380,3343,164,6613,90,1444
2020-04-09,5059,3579,57209,604,0,544,51,1110,438,4183,1426,23405,417,1654
2020-04-10,5059,3579,56977,604,40,498,90,1218,380,4183,1415,23372,404,1716
2020-04-11,5099,3579,57613,604,12,509,125,1266,367,4183,1033,17551,379,1775
2020-04-12,5099,3579,57485,604,13,519,138,1313,382,4183,1030,17673,380,1832
2020-04-13,5099,3579,57482,604,11,500,164,1411,374,4183,1510,24941,396,1911
2020-04-14,5100,3580,57687,606,15,529,181,1426,377,4186,1510,25359,395,1955
2020-04-15,5368,3877,59375,564,11,522,159,1517,382,4441,1681,26036,508,2039
2020-04-16,6552,3881,59903,564,12,527,157,1547,373,4445,1448,27944,454,2074
2020-04-17,6552,3881,59479,564,15,525,213,1614,365,4445,1388,25589,448,2139
2020-04-18,6548,3889,59286,564,2,515,136,1635,363,4453,1368,25819,386,2150
2020-04-19,6548,3874,59316,564,22,534,195,1737,366,4438,1231,21453,424,2271
2020-04-20,6548,3854,59873,610,15,530,170,1813,364,4464,1466,26873,457,2343
2020-04-21,6548,3854,59901,610,13,524,202,1882,362,4464,1587,28912,480,2406
2020-04-22,6566,3854,59587,571,18,516,309,2044,352,4425,1667,26864,527,2560
2020-04-23,6566,3854,59492,571,20,541,214,2091,379,4425,1612,28750,496,2632
2020-04-24,6563,3853,59560,571,13,525,214,2164,380,4424,1524,26726,446,2689
