"Result","time","inc_res","inc_mut","inc_tot","date","rcases"
"AB"," 0"," 298.1333","6.283333e+00","   304.4167","2021-12-07","   238"
"AB"," 1"," 318.3429","1.126129e+01","   329.6042","2021-12-08","   317"
"AB"," 2"," 334.7780","1.595352e+01","   350.7315","2021-12-09","   284"
"AB"," 3"," 349.9167","2.127935e+01","   371.1960","2021-12-10","   416"
"AB"," 4"," 365.0516","2.785379e+01","   392.9054","2021-12-11","   286"
"AB"," 5"," 380.8862","3.622554e+01","   417.1117","2021-12-12","   497"
"AB"," 6"," 397.8335","4.699710e+01","   444.8306","2021-12-13","   469"
"AB"," 7"," 416.1672","6.089971e+01","   477.0669","2021-12-14","   481"
"AB"," 8"," 436.0978","7.885542e+01","   514.9532","2021-12-15","   345"
"AB"," 9"," 457.8103","1.020421e+02","   559.8523","2021-12-16","   765"
"AB","10"," 481.4842","1.319701e+02","   613.4544","2021-12-17","   543"
"AB","11"," 507.3032","1.705783e+02","   677.8815","2021-12-18","   736"
"AB","12"," 535.4594","2.203538e+02","   755.8132","2021-12-19","   548"
"AB","13"," 566.1560","2.844859e+02","   850.6419","2021-12-20","   712"
"AB","14"," 599.6072","3.670591e+02","   966.6663","2021-12-21","  1289"
"AB","15"," 636.0374","4.732995e+02","  1109.3369","2021-12-22","  1103"
"AB","16"," 675.6786","6.098846e+02","  1285.5632","2021-12-23","  1355"
"AB","17"," 718.7671","7.853334e+02","  1504.1006","2021-12-24","  1091"
"AB","18"," 765.5380","1.010494e+03","  1776.0325","2021-12-25","  1861"
"AB","19"," 816.2173","1.299153e+03","  2115.3703","2021-12-26","  1777"
"AB","20"," 871.0118","1.668780e+03","  2539.7916","2021-12-27","  1869"
"AB","21"," 930.0949","2.141446e+03","  3071.5413","2021-12-28","  2487"
"AB","22"," 993.5889","2.744925e+03","  3738.5135","2021-12-29","  3977"
"AB","23","1061.5412","3.513987e+03","  4575.5283","2021-12-30","  5090"
"AB","24","1133.8950","4.491901e+03","  5625.7961","2021-12-31","  4499"
"AB","25","1210.4532","5.732078e+03","  6942.5312","2022-01-01","  6475"
"AB","26","1290.8339","7.299785e+03","  8590.6187","2022-01-02","  8643"
"AB","27","1374.4202","9.273730e+03"," 10648.1505","2022-01-03"," 10240"
"AB","28","1460.3025","1.174720e+04"," 13207.5041","2022-01-04"," 15639"
"AB","29","1547.2194","1.482823e+04"," 16375.4509","2022-01-05","  9568"
"AB","30","1633.5011","1.863802e+04"," 20271.5173","2022-01-06"," 19420"
"AB","31","1717.0257","2.330651e+04"," 25023.5356","2022-01-07"," 26570"
"AB","32","1795.2029","2.896386e+04"," 30759.0657","2022-01-08"," 34524"
"AB","33","1865.0020","3.572627e+04"," 37591.2757","2022-01-09"," 34050"
"AB","34","1923.0448","4.367521e+04"," 45598.2500","2022-01-10"," 63208"
"AB","35","1965.7833","5.283004e+04"," 54795.8187","2022-01-11"," 62150"
"AB","36","1989.7703","6.311645e+04"," 65106.2216","2022-01-12"," 56834"
"AB","37","1992.0149","7.433621e+04"," 76328.2234","2022-01-13"," 68862"
"AB","38","1970.3866","8.614742e+04"," 88117.8090","2022-01-14"," 85819"
"AB","39","1923.9998","9.806670e+04"," 99990.6994","2022-01-15"," 76625"
"AB","40","1853.4918","1.095022e+05","111355.7349","2022-01-16","122543"
"AB","41","1761.1055","1.198196e+05","121580.6809","2022-01-17","153229"
"AB","42","1650.5290","1.284295e+05","130080.0377","2022-01-18","124243"
"AB","43","1526.5020","1.348770e+05","136403.5084","2022-01-19","109924"
"AB","44","1394.2711","1.389062e+05","140300.5041","2022-01-20","153156"
"AB","45","1259.0149","1.404844e+05","141743.3868","2022-01-21","126149"
"AB","46","1125.3552","1.397814e+05","140906.7318","2022-01-22","152254"
"AB","47"," 997.0348","1.371171e+05","138114.1227","2022-01-23","158426"
"AB","48"," 876.7796","1.328944e+05","133771.1889","2022-01-24","153990"
"AB","49"," 766.3189","1.275362e+05","128302.5180","2022-01-25","138519"
"AB","50"," 666.5125","1.214371e+05","122103.6038","2022-01-26"," 79807"
"AB","51"," 577.5306","1.149342e+05","115511.6846","2022-01-27","155642"
"AB","52"," 499.0433","1.082946e+05","108793.6816","2022-01-28","102366"
"AB","53"," 430.3918","1.017164e+05","102146.7459","2022-01-29","131005"
"AB","54"," 370.7295","9.533567e+04"," 95706.4021","2022-01-30"," 47253"
"AB","55"," 319.1278","8.923895e+04"," 89558.0782","2022-01-31","128761"
"AB","56"," 274.6511","8.347446e+04"," 83749.1105","2022-02-01"," 95966"
"AB","57"," 236.4044","7.806312e+04"," 78299.5240","2022-02-02"," 68383"
"AB","58"," 203.5620","7.300731e+04"," 73210.8756","2022-02-03"," 54672"
"AB","59"," 175.3803","6.829762e+04"," 68473.0039","2022-02-04"," 84907"
"AB","60"," 151.2021","6.391772e+04"," 64068.9179","2022-02-05"," 46219"
"","","","","","",""
"Result","time","inc_res","inc_mut","inc_tot","date","rcases"
"BC"," 0","328.0000","5.920000e+00","   333.9200","2021-12-02","   380"
"BC"," 1","332.9982","9.876155e+00","   342.8743","2021-12-03","   354"
"BC"," 2","337.2934","1.350440e+01","   350.7978","2021-12-04","   298"
"BC"," 3","341.7036","1.746871e+01","   359.1723","2021-12-05","   265"
"BC"," 4","346.6039","2.218474e+01","   368.7886","2021-12-06","   501"
"BC"," 5","352.1651","2.798900e+01","   380.1541","2021-12-07","   485"
"BC"," 6","358.4671","3.522127e+01","   393.6884","2021-12-08","   374"
"BC"," 7","365.5518","4.427042e+01","   409.8222","2021-12-09","   247"
"BC"," 8","373.4463","5.560656e+01","   429.0528","2021-12-10","   487"
"BC"," 9","382.1738","6.980981e+01","   451.9836","2021-12-11","   514"
"BC","10","391.7573","8.760128e+01","   479.3586","2021-12-12","   332"
"BC","11","402.2212","1.098794e+02","   512.1006","2021-12-13","   486"
"BC","12","413.5909","1.377639e+02","   551.3548","2021-12-14","   394"
"BC","13","425.8933","1.726501e+02","   598.5433","2021-12-15","   562"
"BC","14","439.1554","2.162759e+02","   655.4313","2021-12-16","   520"
"BC","15","453.4047","2.708043e+02","   724.2090","2021-12-17","   766"
"BC","16","468.6677","3.389258e+02","   807.5935","2021-12-18","   756"
"BC","17","484.9699","4.239837e+02","   908.9536","2021-12-19","   951"
"BC","18","502.3345","5.301291e+02","  1032.4636","2021-12-20","  1112"
"BC","19","520.7816","6.625100e+02","  1183.2916","2021-12-21","  1301"
"BC","20","540.3268","8.275032e+02","  1367.8300","2021-12-22","  1583"
"BC","21","560.9798","1.032996e+03","  1593.9755","2021-12-23","  2015"
"BC","22","582.7427","1.288725e+03","  1871.4680","2021-12-24","  1915"
"BC","23","605.6072","1.606691e+03","  2212.2978","2021-12-25","  2670"
"BC","24","629.5519","2.001639e+03","  2631.1911","2021-12-26","  2595"
"BC","25","654.5386","2.491642e+03","  3146.1811","2021-12-27","  3377"
"BC","26","680.5079","3.098764e+03","  3779.2720","2021-12-28","  3469"
"BC","27","707.3736","3.849821e+03","  4557.1942","2021-12-29","  4893"
"BC","28","735.0161","4.777224e+03","  5512.2405","2021-12-30","  5611"
"BC","29","763.2747","5.919879e+03","  6683.1542","2021-12-31","  7127"
"BC","30","791.9379","7.324078e+03","  8116.0159","2022-01-01","  5088"
"BC","31","820.7331","9.044299e+03","  9865.0318","2022-01-02","  7534"
"BC","32","849.3146","1.114376e+04"," 11993.0723","2022-01-03"," 10887"
"BC","33","877.2516","1.369448e+04"," 14571.7347","2022-01-04"," 18307"
"BC","34","904.0160","1.677658e+04"," 17680.5988","2022-01-05"," 20719"
"BC","35","928.9724","2.047628e+04"," 21405.2487","2022-01-06"," 17790"
"BC","36","951.3722","2.488215e+04"," 25833.5248","2022-01-07"," 24483"
"BC","37","970.3559","3.007904e+04"," 31049.3989","2022-01-08"," 27344"
"BC","38","984.9660","3.613898e+04"," 37123.9474","2022-01-09"," 47321"
"BC","39","994.1776","4.310895e+04"," 44103.1251","2022-01-10"," 35008"
"BC","40","996.9480","5.099565e+04"," 51992.5958","2022-01-11"," 65185"
"BC","41","992.2905","5.974857e+04"," 60740.8599","2022-01-12"," 67840"
"BC","42","979.3693","6.924374e+04"," 70223.1115","2022-01-13"," 79310"
"BC","43","957.6083","7.927205e+04"," 80229.6542","2022-01-14"," 77462"
"BC","44","926.8012","8.953674e+04"," 90463.5414","2022-01-15","100577"
"BC","45","887.1998","9.966455e+04","100551.7548","2022-01-16","121856"
"BC","46","839.5604","1.092326e+05","110072.1120","2022-01-17"," 87379"
"BC","47","785.1268","1.178091e+05","118594.2180","2022-01-18","152427"
"BC","48","725.5448","1.250026e+05","125728.0985","2022-01-19","160983"
"BC","49","662.7173","1.305081e+05","131170.8050","2022-01-20","107715"
"BC","50","598.6242","1.341420e+05","134740.6420","2022-01-21"," 94652"
"BC","51","535.1423","1.358568e+05","136391.8954","2022-01-22","106057"
"BC","52","473.8965","1.357342e+05","136208.0848","2022-01-23","114301"
"BC","53","416.1633","1.339615e+05","134377.6709","2022-01-24","145764"
"BC","54","362.8332","1.307966e+05","131159.4018","2022-01-25","146270"
"BC","55","314.4232","1.265312e+05","126845.5870","2022-01-26","109560"
"BC","56","271.1265","1.214587e+05","121729.7968","2022-01-27","131972"
"BC","57","232.8800","1.158499e+05","116082.8201","2022-01-28","139711"
"BC","58","199.4367","1.099385e+05","110137.9434","2022-01-29","101201"
"BC","59","170.4318","1.039142e+05","104084.5922","2022-01-30","110779"
"BC","60","145.4373","9.792288e+04"," 98068.3148","2022-01-31"," 86082"
"","","","","","",""
"Result","time","inc_res","inc_mut","inc_tot","date","rcases"
"MB"," 0","175.93333","    3.180667","  179.1140","2021-12-07","  215"
"MB"," 1","179.66483","    5.291488","  184.9563","2021-12-08","  196"
"MB"," 2","182.86827","    7.224350","  190.0926","2021-12-09","  141"
"MB"," 3","186.12979","    9.331897","  195.4617","2021-12-10","  110"
"MB"," 4","189.72290","   11.833833","  201.5567","2021-12-11","  331"
"MB"," 5","193.77641","   14.906810","  208.6832","2021-12-12","  301"
"MB"," 6","198.35423","   18.728018","  217.0822","2021-12-13","  191"
"MB"," 7","203.49252","   23.499245","  226.9918","2021-12-14","   86"
"MB"," 8","209.21663","   29.463431","  238.6801","2021-12-15","  284"
"MB"," 9","215.54838","   36.919303","  252.4677","2021-12-16","  311"
"MB","10","222.50900","   46.236874","  268.7459","2021-12-17","  126"
"MB","11","230.12004","   57.875451","  287.9955","2021-12-18","  258"
"MB","12","238.40342","   72.405291","  310.8087","2021-12-19","  164"
"MB","13","247.38107","   90.534123","  337.9152","2021-12-20","  288"
"MB","14","257.07446","  113.139534","  370.2140","2021-12-21","  241"
"MB","15","267.50387","  141.308657","  408.8125","2021-12-22","  449"
"MB","16","278.68768","  176.386676","  455.0744","2021-12-23","  409"
"MB","17","290.64148","  220.035871","  510.6773","2021-12-24","  536"
"MB","18","303.37693","  274.307214","  577.6841","2021-12-25","  650"
"MB","19","316.90055","  341.726796","  658.6273","2021-12-26","  766"
"MB","20","331.21209","  425.399350","  756.6114","2021-12-27","  955"
"MB","21","346.30272","  529.131376","  875.4341","2021-12-28"," 1285"
"MB","22","362.15268","  657.576114"," 1019.7288","2021-12-29"," 1033"
"MB","23","378.72864","  816.401530"," 1195.1302","2021-12-30"," 1625"
"MB","24","395.98039"," 1012.481815"," 1408.4622","2021-12-31"," 1353"
"MB","25","413.83702"," 1254.110117"," 1667.9471","2022-01-01"," 1842"
"MB","26","432.20245"," 1551.226320"," 1983.4288","2022-01-02"," 1697"
"MB","27","450.95033"," 1915.647791"," 2366.5981","2022-01-03"," 2629"
"MB","28","469.91833"," 2361.281763"," 2831.2001","2022-01-04"," 2862"
"MB","29","488.90195"," 2904.285084"," 3393.1870","2022-01-05"," 3731"
"MB","30","507.64827"," 3563.120374"," 4070.7686","2022-01-06"," 3858"
"MB","31","525.84992"," 4358.433629"," 4884.2836","2022-01-07"," 6179"
"MB","32","543.14035"," 5312.651312"," 5855.7917","2022-01-08"," 5827"
"MB","33","559.09122"," 6449.177733"," 7008.2690","2022-01-09","10165"
"MB","34","573.21369"," 7791.034733"," 8364.2484","2022-01-10","10758"
"MB","35","584.96528"," 9358.813038"," 9943.7783","2022-01-11"," 6946"
"MB","36","593.76446","11167.821462","11761.5859","2022-01-12","10479"
"MB","37","599.01480","13224.453254","13823.4681","2022-01-13","10757"
"MB","38","600.13993","15521.957366","16122.0973","2022-01-14","23866"
"MB","39","596.62891","18036.114390","18632.7433","2022-01-15","11906"
"MB","40","588.08954","20721.627210","21309.7167","2022-01-16","30692"
"MB","41","574.30379","23510.333300","24084.6371","2022-01-17","28625"
"MB","42","555.27725","26312.408303","26867.6856","2022-01-18","32508"
"MB","43","531.27219","29021.398075","29552.6703","2022-01-19","27249"
"MB","44","502.81504","31523.134693","32025.9497","2022-01-20","37754"
"MB","45","470.67199","33707.510414","34178.1824","2022-01-21","46539"
"MB","46","435.79323","35480.983412","35916.7766","2022-01-22","22962"
"MB","47","399.23353","36777.230838","37176.4644","2022-01-23","55743"
"MB","48","362.06190","37563.648068","37925.7100","2022-01-24","56517"
"MB","49","325.27606","37842.547332","38167.8234","2022-01-25","26068"
"MB","50","289.73445","37647.267658","37937.0021","2022-01-26","18950"
"MB","51","256.11369","37034.669516","37290.7832","2022-01-27","22882"
"MB","52","224.89306","36075.962962","36300.8560","2022-01-28","25823"
"MB","53","196.36191","34847.788278","35044.1502","2022-01-29","39640"
"MB","54","170.64337","33424.844282","33595.4877","2022-01-30","39815"
"MB","55","147.72681","31874.727823","32022.4546","2022-01-31","24035"
"MB","56","127.50261","30254.995426","30382.4980","2022-02-01","34300"
"MB","57","109.79462","28612.106489","28721.9011","2022-02-02","38637"
"MB","58"," 94.38781","26981.729710","27076.1175","2022-02-03","22790"
"MB","59"," 81.04990","25389.882488","25470.9324","2022-02-04","27859"
"MB","60"," 69.54724","23854.474064","23924.0213","2022-02-05","18523"
"","","","","","",""
"Result","time","inc_res","inc_mut","inc_tot","date","rcases"
"ON"," 0"," 1178.667","    26.04333","  1204.710","2021-12-08","  1339"
