"Result","day","value","2.5%","50%","97.5%","date"
"AB"," 1"," 385"," 124"," 255","  454","2021-12-07"
"AB"," 2"," 356"," 124"," 256","  456","2021-12-08"
"AB"," 3"," 345"," 127"," 260","  463","2021-12-09"
"AB"," 4"," 313"," 130"," 268","  476","2021-12-10"
"AB"," 5"," 261"," 136"," 279","  498","2021-12-11"
"AB"," 6"," 200"," 144"," 296","  526","2021-12-12"
"AB"," 7"," 275"," 155"," 318","  566","2021-12-13"
"AB"," 8"," 445"," 170"," 347","  617","2021-12-14"
"AB"," 9"," 472"," 188"," 385","  684","2021-12-15"
"AB","10"," 554"," 212"," 434","  770","2021-12-16"
"AB","11"," 620"," 243"," 495","  878","2021-12-17"
"AB","12"," 713"," 281"," 573"," 1015","2021-12-18"
"AB","13"," 569"," 330"," 671"," 1188","2021-12-19"
"AB","14"," 791"," 391"," 794"," 1408","2021-12-20"
"AB","15","1360"," 468"," 949"," 1681","2021-12-21"
"AB","16","1587"," 563","1140"," 2018","2021-12-22"
"AB","17","1989"," 683","1379"," 2441","2021-12-23"
"AB","18","2482"," 829","1674"," 2964","2021-12-24"
"AB","19","1584","1010","2041"," 3608","2021-12-25"
"AB","20"," 698","1234","2496"," 4415","2021-12-26"
"AB","21","1400","1512","3052"," 5400","2021-12-27"
"AB","22","2796","1852","3740"," 6617","2021-12-28"
"AB","23","4017","2242","4531"," 8017","2021-12-29"
"AB","24","4421","2649","5337"," 9435","2021-12-30"
"AB","25","4408","2478","4993"," 8827","2021-12-31"
"AB","26","3238","2414","4870"," 8620","2022-01-01"
"AB","27","1978","2426","4894"," 8648","2022-01-02"
"AB","28","2953","2489","5015"," 8863","2022-01-03"
"AB","29","4735","2576","5205"," 9197","2022-01-04"
"AB","30","4857","2693","5431"," 9605","2022-01-05"
"AB","31","6311","2810","5670","10008","2022-01-06"
"AB","32","6229","2933","5905","10446","2022-01-07"
"AB","33","6230","3033","6113","10801","2022-01-08"
"AB","34","5368","3108","6282","11116","2022-01-09"
"AB","35","4709","3165","6409","11315","2022-01-10"
"AB","36","6901","3213","6483","11455","2022-01-11"
"AB","37","5943","3223","6504","11499","2022-01-12"
"AB","38","6363","3210","6485","11463","2022-01-13"
"AB","39","6243","3183","6428","11353","2022-01-14"
"AB","40","5362","3148","6358","11234","2022-01-15"
"AB","41","4138","3107","6265","11072","2022-01-16"
"AB","42","3691","3059","6167","10896","2022-01-17"
"","","","","","",""
"Result","day","value","2.5%","50%","97.5%","date"
"BC"," 1"," 375"," 188"," 385"," 684","2021-12-07"
"BC"," 2"," 341"," 195"," 399"," 710","2021-12-08"
"BC"," 3"," 458"," 205"," 417"," 741","2021-12-09"
"BC"," 4"," 458"," 216"," 440"," 780","2021-12-10"
"BC"," 5"," 384"," 230"," 468"," 832","2021-12-11"
"BC"," 6"," 361"," 248"," 505"," 894","2021-12-12"
"BC"," 7"," 419"," 270"," 549"," 974","2021-12-13"
"BC"," 8"," 597"," 297"," 603","1069","2021-12-14"
"BC"," 9"," 758"," 329"," 668","1184","2021-12-15"
"BC","10"," 793"," 368"," 746","1324","2021-12-16"
