"Result","2.5%","50%","97.5%","date","day"
"AB","5668.000","11435.0","20268.00","2022-01-17"," 1"
"AB","5695.000","11446.0","20198.02","2022-01-18"," 2"
"AB","5705.975","11481.0","20319.02","2022-01-19"," 3"
"AB","5783.000","11586.0","20425.02","2022-01-20"," 4"
"AB","5838.975","11672.0","20591.00","2022-01-21"," 5"
"AB","5781.000","11746.0","20778.02","2022-01-22"," 6"
"AB","5827.000","11801.0","20855.00","2022-01-23"," 7"
"AB","5899.975","11898.0","20982.02","2022-01-24"," 8"
"AB","5884.000","11910.0","21102.05","2022-01-25"," 9"
"AB","5908.000","11916.0","21086.00","2022-01-26","10"
"AB","5845.000","11904.0","20997.02","2022-01-27","11"
"AB","5879.000","11859.0","20952.00","2022-01-28","12"
"AB","5873.000","11828.0","20839.10","2022-01-29","13"
"AB","5829.975","11734.0","20807.02","2022-01-30","14"
"AB","5765.000","11647.5","20578.02","2022-01-31","15"
"AB","5764.000","11549.0","20430.02","2022-02-01","16"
"AB","5671.000","11446.0","20218.02","2022-02-02","17"
"AB","5598.000","11278.0","19910.02","2022-02-03","18"
"AB","5479.975","11135.0","19591.00","2022-02-04","19"
"AB","5440.000","10968.0","19405.00","2022-02-05","20"
"AB","5343.975","10774.0","19056.05","2022-02-06","21"
"AB","5266.000","10556.0","18664.05","2022-02-07","22"
"AB","5143.975","10378.0","18416.02","2022-02-08","23"
"AB","5019.975","10139.0","17946.02","2022-02-09","24"
"AB","4922.000"," 9935.0","17491.02","2022-02-10","25"
"AB","4778.000"," 9680.0","17151.02","2022-02-11","26"
"AB","4700.975"," 9460.0","16790.02","2022-02-12","27"
"AB","4560.000"," 9208.0","16277.07","2022-02-13","28"
"AB","4443.000"," 8953.5","15772.02","2022-02-14","29"
"AB","4288.000"," 8716.0","15373.07","2022-02-15","30"
"","","","","",""
"Result","2.5%","50%","97.5%","date","day"
"BC","4878.975","9802.0","17299.02","2022-01-17"," 1"
"BC","4773.000","9586.0","16999.02","2022-01-18"," 2"
"BC","4705.000","9450.0","16664.10","2022-01-19"," 3"
"BC","4635.975","9365.0","16528.02","2022-01-20"," 4"
"BC","4591.000","9271.5","16364.05","2022-01-21"," 5"
