"Result","2.5%","50%","97.5%","date","day"
"AB","3052.000","6181.0","10913.050","2022-01-17"," 1"
"AB","3070.000","6152.0","10880.000","2022-01-18"," 2"
"AB","3058.000","6185.0","10906.000","2022-01-19"," 3"
"AB","3081.000","6235.0","11020.025","2022-01-20"," 4"
"AB","3106.000","6269.5","11087.025","2022-01-21"," 5"
"AB","3130.000","6308.0","11171.025","2022-01-22"," 6"
"AB","3137.975","6350.0","11323.025","2022-01-23"," 7"
"AB","3162.975","6383.0","11341.025","2022-01-24"," 8"
"AB","3155.000","6376.0","11295.025","2022-01-25"," 9"
"AB","3168.000","6410.0","11305.025","2022-01-26","10"
"AB","3167.000","6407.0","11301.000","2022-01-27","11"
"AB","3153.975","6373.0","11271.000","2022-01-28","12"
"AB","3186.000","6366.0","11227.000","2022-01-29","13"
"AB","3134.000","6319.0","11177.000","2022-01-30","14"
"AB","3119.975","6275.0","11087.000","2022-01-31","15"
"AB","3082.975","6209.0","11000.000","2022-02-01","16"
"AB","3057.975","6156.0","10875.050","2022-02-02","17"
"AB","3008.000","6068.0","10697.025","2022-02-03","18"
"AB","2982.000","5977.0","10626.000","2022-02-04","19"
"AB","2919.000","5903.0","10439.025","2022-02-05","20"
"AB","2869.000","5789.0","10273.000","2022-02-06","21"
"AB","2810.000","5687.0","10069.000","2022-02-07","22"
"AB","2772.000","5583.0"," 9896.000","2022-02-08","23"
"AB","2708.975","5465.0"," 9672.000","2022-02-09","24"
"AB","2665.000","5340.0"," 9424.000","2022-02-10","25"
"AB","2584.000","5212.0"," 9239.025","2022-02-11","26"
"AB","2525.000","5085.0"," 9009.025","2022-02-12","27"
"AB","2450.000","4945.0"," 8787.000","2022-02-13","28"
"AB","2396.000","4809.0"," 8518.000","2022-02-14","29"
"AB","2319.000","4683.5"," 8299.025","2022-02-15","30"
"","","","","",""
"Result","2.5%","50%","97.5%","date","day"
"BC","800.000","1615","2858.000","2022-01-17"," 1"
"BC","783.000","1581","2811.000","2022-01-18"," 2"
"BC","770.000","1559","2764.000","2022-01-19"," 3"
"BC","761.000","1546","2732.000","2022-01-20"," 4"
"BC","753.000","1526","2708.025","2022-01-21"," 5"
"BC","747.000","1511","2682.000","2022-01-22"," 6"
"BC","741.000","1497","2649.000","2022-01-23"," 7"
"BC","736.000","1484","2627.025","2022-01-24"," 8"
"BC","733.000","1467","2596.025","2022-01-25"," 9"
"BC","716.000","1449","2571.000","2022-01-26","10"
"BC","707.000","1430","2541.025","2022-01-27","11"
"BC","698.000","1411","2498.000","2022-01-28","12"
"BC","695.000","1391","2460.000","2022-01-29","13"
"BC","677.000","1367","2425.000","2022-01-30","14"
"BC","663.975","1345","2383.000","2022-01-31","15"
"BC","654.000","1319","2339.000","2022-02-01","16"
"BC","639.000","1294","2285.000","2022-02-02","17"
"BC","629.000","1270","2244.000","2022-02-03","18"
"BC","619.000","1244","2207.000","2022-02-04","19"
"BC","598.000","1213","2155.000","2022-02-05","20"
"BC","583.000","1185","2105.000","2022-02-06","21"
"BC","572.000","1159","2049.000","2022-02-07","22"
"BC","560.000","1130","1999.000","2022-02-08","23"
"BC","541.000","1101","1957.000","2022-02-09","24"
