"Result","2.5%","50%","97.5%","date","day"
"AB","27359.000","55121.0","97325.10","2022-01-09"," 1"
"AB","24579.950","49569.5","87609.12","2022-01-10"," 2"
"AB","22798.975","46039.5","81168.00","2022-01-11"," 3"
"AB","21579.975","43410.0","76779.12","2022-01-12"," 4"
"AB","20481.000","41231.0","73062.02","2022-01-13"," 5"
"AB","19488.975","39417.0","69906.00","2022-01-14"," 6"
"AB","18500.000","37344.5","66081.02","2022-01-15"," 7"
"AB","17519.950","35537.5","62688.02","2022-01-16"," 8"
"AB","16646.975","33564.0","59234.05","2022-01-17"," 9"
"AB","15708.975","31615.5","55882.00","2022-01-18","10"
"AB","14759.900","29739.0","52643.22","2022-01-19","11"
"AB","13928.975","27938.0","49252.05","2022-01-20","12"
"AB","12877.000","26122.0","46237.02","2022-01-21","13"
"AB","12157.000","24443.0","43315.05","2022-01-22","14"
"AB","11356.975","22864.0","40307.12","2022-01-23","15"
"AB","10584.975","21240.5","37672.05","2022-01-24","16"
"AB"," 9846.950","19905.0","35062.07","2022-01-25","17"
"AB"," 9185.975","18553.0","32681.02","2022-01-26","18"
"AB"," 8521.975","17271.0","30589.02","2022-01-27","19"
"AB"," 7935.000","16054.0","28312.05","2022-01-28","20"
"AB"," 7413.000","14952.0","26411.05","2022-01-29","21"
"AB"," 6886.975","13898.5","24615.02","2022-01-30","22"
"AB"," 6423.000","12939.0","22813.02","2022-01-31","23"
"AB"," 5978.000","12023.0","21260.02","2022-02-01","24"
"AB"," 5532.000","11191.0","19743.02","2022-02-02","25"
"AB"," 5156.000","10407.0","18337.00","2022-02-03","26"
"AB"," 4796.975"," 9681.0","17067.00","2022-02-04","27"
"AB"," 4438.975"," 8989.0","15933.02","2022-02-05","28"
"AB"," 4184.000"," 8364.0","14779.00","2022-02-06","29"
"AB"," 3860.000"," 7775.0","13787.00","2022-02-07","30"
"","","","","",""
"Result","2.5%","50%","97.5%","date","day"
"BC","27676.925","55801.0","98842.02","2022-01-09"," 1"
"BC","24443.975","49514.0","87308.17","2022-01-10"," 2"
"BC","22562.000","45389.0","79973.30","2022-01-11"," 3"
"BC","21041.000","42257.0","74831.07","2022-01-12"," 4"
"BC","19560.925","39581.5","69978.10","2022-01-13"," 5"
"BC","18443.950","37208.0","65793.02","2022-01-14"," 6"
"BC","17414.000","35021.0","62063.10","2022-01-15"," 7"
"BC","16374.950","32988.0","58121.10","2022-01-16"," 8"
"BC","15261.975","30875.5","54499.02","2022-01-17"," 9"
"BC","14415.975","28914.0","51213.07","2022-01-18","10"
"BC","13528.000","27050.0","47715.10","2022-01-19","11"
"BC","12522.975","25293.0","44526.02","2022-01-20","12"
"BC","11697.975","23568.0","41744.05","2022-01-21","13"
"BC","10875.000","21929.0","38627.00","2022-01-22","14"
"BC","10099.975","20441.0","36127.10","2022-01-23","15"
"BC"," 9359.000","18996.0","33580.02","2022-01-24","16"
"BC"," 8725.975","17670.0","31187.05","2022-01-25","17"
"BC"," 8182.950","16433.0","29023.02","2022-01-26","18"
"BC"," 7543.000","15249.5","26989.00","2022-01-27","19"
"BC"," 7092.000","14211.0","25036.02","2022-01-28","20"
"BC"," 6532.000","13174.0","23373.02","2022-01-29","21"
"BC"," 6068.000","12262.0","21673.02","2022-01-30","22"
"BC"," 5654.975","11374.0","20119.00","2022-01-31","23"
"BC"," 5248.950","10581.5","18743.00","2022-02-01","24"
"BC"," 4860.975"," 9820.0","17329.02","2022-02-02","25"
"BC"," 4518.000"," 9104.0","16061.02","2022-02-03","26"
"BC"," 4201.975"," 8453.0","14948.00","2022-02-04","27"
"BC"," 3891.000"," 7865.0","13913.02","2022-02-05","28"
"BC"," 3622.000"," 7295.0","12866.02","2022-02-06","29"
"BC"," 3353.000"," 6762.0","11952.00","2022-02-07","30"
"","","","","",""
"Result","2.5%","50%","97.5%","date","day"
"MB","2848.000","11203.0","28737.000","2022-01-09"," 1"
"MB","2624.000","10144.0","26223.050","2022-01-10"," 2"
"MB","2436.975"," 9569.5","24628.050","2022-01-11"," 3"
"MB","2334.000"," 9162.0","23501.100","2022-01-12"," 4"
"MB","2265.000"," 8881.0","22882.025","2022-01-13"," 5"
"MB","2227.000"," 8646.0","22280.050","2022-01-14"," 6"
"MB","2203.000"," 8451.0","21630.000","2022-01-15"," 7"
"MB","2060.950"," 8177.0","21084.000","2022-01-16"," 8"
"MB","2022.000"," 7965.0","20487.025","2022-01-17"," 9"
"MB","1973.975"," 7704.0","19931.025","2022-01-18","10"
"MB","1897.000"," 7475.0","19218.000","2022-01-19","11"
"MB","1834.975"," 7212.0","18409.050","2022-01-20","12"
"MB","1766.000"," 6880.0","17695.000","2022-01-21","13"
"MB","1668.000"," 6608.0","17082.050","2022-01-22","14"
"MB","1618.000"," 6293.5","16151.025","2022-01-23","15"
"MB","1528.000"," 6010.0","15461.050","2022-01-24","16"
"MB","1448.000"," 5720.0","14736.025","2022-01-25","17"
"MB","1377.975"," 5465.0","14076.050","2022-01-26","18"
"MB","1326.000"," 5169.0","13327.000","2022-01-27","19"
"MB","1228.000"," 4885.0","12593.000","2022-01-28","20"
"MB","1191.000"," 4635.0","11942.000","2022-01-29","21"
"MB","1120.000"," 4388.0","11310.000","2022-01-30","22"
"MB","1050.000"," 4118.0","10643.000","2022-01-31","23"
"MB"," 994.000"," 3896.0","10028.025","2022-02-01","24"
