"Result","time","inc_res","inc_mut","inc_tot","date","rcases"
"AB"," 0","298.13333","   6.283333"," 304.4167","2021-12-07","   301"
"AB"," 1","318.34210","  11.261241"," 329.6033","2021-12-08","   366"
"AB"," 2","334.77605","  15.953372"," 350.7294","2021-12-09","   328"
"AB"," 3","349.91283","  21.278996"," 371.1918","2021-12-10","   366"
"AB"," 4","365.04458","  27.852991"," 392.8976","2021-12-11","   303"
"AB"," 5","380.87357","  36.223774"," 417.0973","2021-12-12","   500"
"AB"," 6","397.81122","  46.993262"," 444.8045","2021-12-13","   396"
"AB"," 7","416.12827","  60.891430"," 477.0197","2021-12-14","   708"
"AB"," 8","436.02975","  78.837638"," 514.8674","2021-12-15","   389"
"AB"," 9","457.69164"," 102.004013"," 559.6957","2021-12-16","   592"
"AB","10","481.27729"," 131.888907"," 613.1662","2021-12-17","   645"
"AB","11","506.94194"," 170.405196"," 677.3471","2021-12-18","   749"
"AB","12","534.82837"," 219.985500"," 754.8139","2021-12-19","   789"
"AB","13","565.05291"," 283.703245"," 848.7562","2021-12-20","   955"
"AB","14","597.67817"," 365.399175"," 963.0773","2021-12-21","   743"
"AB","15","632.66439"," 469.787022","1102.4514","2021-12-22","   638"
"AB","16","669.78739"," 602.476229","1272.2636","2021-12-23","  1055"
"AB","17","708.50447"," 769.782368","1478.2868","2021-12-24","  1188"
"AB","18","747.74878"," 978.088082","1725.8369","2021-12-25","  2117"
"AB","19","785.64398","1232.361542","2018.0055","2021-12-26","  1780"
"AB","20","819.18659","1533.383468","2352.5701","2021-12-27","  1928"
"AB","21","844.07135","1873.560025","2717.6314","2021-12-28","  2842"
"AB","22","855.02693","2232.562356","3087.5893","2021-12-29","  3118"
"AB","23","847.07548","2576.408096","3423.4836","2021-12-30","  5983"
"AB","24","817.61540","2864.535533","3682.1509","2021-12-31","  6855"
"AB","25","768.16935","3064.547713","3832.7171","2022-01-01","  7268"
"AB","26","704.27076","3165.488348","3869.7591","2022-01-02","  7683"
"AB","27","633.34925","3179.463976","3812.8132","2022-01-03"," 10800"
"AB","28","562.17447","3131.884215","3694.0587","2022-01-04"," 14570"
"AB","29","495.38029","3049.369274","3544.7496","2022-01-05"," 19045"
"AB","30","435.31584","2952.426465","3387.7423","2022-01-06"," 17939"
"AB","31","382.62812","2853.736167","3236.3643","2022-01-07"," 19625"
"AB","32","336.97293","2759.608155","3096.5811","2022-01-08"," 36407"
"AB","33","297.56232","2672.256512","2969.8188","2022-01-09"," 35250"
"AB","34","263.49677","2591.713992","2855.2108","2022-01-10"," 32544"
"AB","35","233.93114","2517.085722","2751.0169","2022-01-11"," 59083"
"AB","36","208.13803","2447.242111","2655.3801","2022-01-12"," 53930"
"AB","37","185.51797","2381.141482","2566.6595","2022-01-13"," 96232"
"AB","38","165.58624","2317.943052","2483.5293","2022-01-14"," 79172"
"AB","39","147.95261","2257.018499","2404.9711","2022-01-15","111677"
"AB","40","132.30138","2197.921501","2330.2229","2022-01-16","116967"
"AB","41","118.37436","2140.346344","2258.7207","2022-01-17"," 90112"
"AB","42","105.95760","2084.089913","2190.0475","2022-01-18","104431"
"AB","43"," 94.87129","2029.020521","2123.8918","2022-01-19","102720"
"AB","44"," 84.96230","1975.054788","2060.0171","2022-01-20","135077"
"AB","45"," 76.09874","1922.141066","1998.2398","2022-01-21","127914"
"AB","46"," 68.16590","1870.248067","1938.4140","2022-01-22","167109"
"AB","47"," 61.06323","1819.357144","1880.4204","2022-01-23","169074"
"AB","48"," 54.70211","1769.457321","1824.1594","2022-01-24","155803"
"AB","49"," 49.00403","1720.541930","1769.5460","2022-01-25"," 98381"
"AB","50"," 43.89921","1672.606602","1716.5058","2022-01-26"," 86536"
"AB","51"," 39.32551","1625.647930","1664.9734","2022-01-27","120008"
"AB","52"," 35.22747","1579.662669","1614.8901","2022-01-28","173535"
"AB","53"," 31.55551","1534.647281","1566.2028","2022-01-29"," 90698"
"AB","54"," 28.26531","1490.597626","1518.8629","2022-01-30"," 80966"
"AB","55"," 25.31720","1447.508845","1472.8260","2022-01-31","139338"
"AB","56"," 22.67562","1405.375289","1428.0509","2022-02-01"," 90173"
"AB","57"," 20.30876","1364.190492","1384.4992","2022-02-02"," 92504"
"AB","58"," 18.18810","1323.947201","1342.1353","2022-02-03"," 72743"
"AB","59"," 16.28808","1284.637396","1300.9255","2022-02-04"," 92619"
"AB","60"," 14.58581","1246.252329","1260.8381","2022-02-05"," 58650"
"","","","","","",""
"Result","time","inc_res","inc_mut","inc_tot","date","rcases"
"BC"," 0","328.00000","   5.920000"," 333.9200","2021-12-02","   280"
"BC"," 1","332.99809","   9.876152"," 342.8742","2021-12-03","   278"
"BC"," 2","337.29322","  13.504390"," 350.7976","2021-12-04","   279"
"BC"," 3","341.70330","  17.468689"," 359.1720","2021-12-05","   372"
"BC"," 4","346.60335","  22.184687"," 368.7880","2021-12-06","   339"
"BC"," 5","352.16418","  27.988894"," 380.1531","2021-12-07","   373"
"BC"," 6","358.46559","  35.221039"," 393.6866","2021-12-08","   366"
"BC"," 7","365.54913","  44.269949"," 409.8191","2021-12-09","   301"
"BC"," 8","373.44177","  55.605575"," 429.0473","2021-12-10","   331"
"BC"," 9","382.16612","  69.807761"," 451.9739","2021-12-11","   459"
"BC","10","391.74430","  87.597041"," 479.3413","2021-12-12","   469"
"BC","11","402.19899"," 109.870625"," 512.0696","2021-12-13","   522"
"BC","12","413.55314"," 137.745747"," 551.2989","2021-12-14","   764"
"BC","13","425.82883"," 172.612631"," 598.4415","2021-12-15","   540"
"BC","14","439.04553"," 216.198578"," 655.2441","2021-12-16","   656"
"BC","15","453.21714"," 270.644899"," 723.8620","2021-12-17","   828"
"BC","16","468.34744"," 338.597226"," 806.9447","2021-12-18","   514"
"BC","17","484.42267"," 423.307096"," 907.7298","2021-12-19","  1282"
"BC","18","501.39921"," 528.737279","1030.1365","2021-12-20","   898"
"BC","19","519.18335"," 659.651225","1178.8346","2021-12-21","  1551"
"BC","20","537.59806"," 821.643604","1359.2417","2021-12-22","  1565"
"BC","21","556.32948","1021.021808","1577.3513","2021-12-23","  1116"
"BC","22","574.84364","1264.371393","1839.2150","2021-12-24","  1315"
"BC","23","592.26475","1557.503821","2149.7686","2021-12-25","  2825"
"BC","24","607.21877","1903.363572","2510.5823","2021-12-26","  2474"
"BC","25","617.68284","2298.456498","2916.1393","2021-12-27","  2770"
"BC","26","620.96194","2727.960505","3348.9224","2021-12-28","  2688"
"BC","27","614.01379","3161.432103","3775.4459","2021-12-29","  4064"
"BC","28","594.32605","3553.695530","4148.0216","2021-12-30","  4936"
"BC","29","561.17894","3855.667190","4416.8461","2021-12-31","  7115"
"BC","30","516.51436","4033.016249","4549.5306","2022-01-01","  8998"
"BC","31","464.55813","4080.471317","4545.0294","2022-01-02","  8142"
"BC","32","410.31121","4020.576762","4430.8880","2022-01-03","  8933"
"BC","33","357.97931","3889.581526","4247.5608","2022-01-04"," 11490"
"BC","34","310.20440","3722.378727","4032.5831","2022-01-05"," 21878"
"BC","35","268.12461","3544.419524","3812.5441","2022-01-06"," 16557"
"BC","36","231.83055","3370.625070","3602.4556","2022-01-07"," 24698"
"BC","37","200.84596","3207.843308","3408.6893","2022-01-08"," 33329"
"BC","38","174.47348","3057.963597","3232.4371","2022-01-09"," 37451"
"BC","39","151.99378","2920.364377","3072.3582","2022-01-10"," 48242"
"BC","40","132.75815","2793.450973","2926.2091","2022-01-11"," 47320"
"BC","41","116.21874","2675.471016","2791.6898","2022-01-12"," 44447"
"BC","42","101.92778","2564.873545","2666.8013","2022-01-13"," 70422"
"BC","43"," 89.52425","2460.415872","2549.9401","2022-01-14"," 69082"
"BC","44"," 78.71767","2361.157198","2439.8749","2022-01-15"," 85636"
"BC","45"," 69.27301","2266.406046","2335.6791","2022-01-16","119130"
"BC","46"," 60.99829","2175.660991","2236.6593","2022-01-17","179920"
"BC","47"," 53.73488","2088.557758","2142.2926","2022-01-18","124341"
"BC","48"," 47.35009","2004.827665","2052.1778","2022-01-19","105628"
"BC","49"," 41.73178","1924.267101","1965.9989","2022-01-20","117613"
"BC","50"," 36.78418","1846.716020","1883.5002","2022-01-21","107057"
"BC","51"," 32.42491","1772.043193","1804.4681","2022-01-22","130084"
"BC","52"," 28.58260","1700.136412","1728.7190","2022-01-23","115345"
"BC","53"," 25.19512","1630.896055","1656.0912","2022-01-24","126139"
"BC","54"," 22.20820","1564.230943","1586.4391","2022-01-25","109936"
"BC","55"," 19.57426","1500.055667","1519.6299","2022-01-26"," 89821"
"BC","56"," 17.25152","1438.288967","1455.5405","2022-01-27","113880"
"BC","57"," 15.20322","1378.852683","1394.0559","2022-01-28","118620"
"BC","58"," 13.39699","1321.671125","1335.0681","2022-01-29","152908"
"BC","59"," 11.80432","1266.670723","1278.4750","2022-01-30"," 64682"
"BC","60"," 10.40004","1213.779775","1224.1798","2022-01-31"," 71366"
"","","","","","",""
"Result","time","inc_res","inc_mut","inc_tot","date","rcases"
"MB"," 0","175.933333","  3.180667","179.1140","2021-12-07","  128"
"MB"," 1","179.664428","  5.291465","184.9559","2021-12-08","  121"
"MB"," 2","182.867289","  7.224286","190.0916","2021-12-09","  123"
"MB"," 3","186.127875","  9.331748","195.4596","2021-12-10","  199"
"MB"," 4","189.719426"," 11.833508","201.5529","2021-12-11","  173"
"MB"," 5","193.770311"," 14.906117","208.6764","2021-12-12","  203"
"MB"," 6","198.343654"," 18.726559","217.0702","2021-12-13","  182"
"MB"," 7","203.474320"," 23.496197","226.9705","2021-12-14","  128"
"MB"," 8","209.185400"," 29.457097","238.6425","2021-12-15","  149"
"MB"," 9","215.494865"," 36.906179","252.4010","2021-12-16","  254"
"MB","10","222.417312"," 46.209742","268.6271","2021-12-17","  254"
"MB","11","229.962894"," 57.819449","287.7823","2021-12-18","  289"
"MB","12","238.133961"," 72.289884","310.4238","2021-12-19","  521"
"MB","13","246.918854"," 90.296619","337.2155","2021-12-20","  278"
"MB","14","256.281513","112.651600","368.9331","2021-12-21","  360"
"MB","15","266.144217","140.308420","406.4526","2021-12-22","  497"
"MB","16","276.359699","174.342705","450.7024","2021-12-23","  186"
"MB","17","286.667220","215.878340","502.5456","2021-12-24","  877"
"MB","18","296.627690","265.909845","562.5375","2021-12-25","  437"
"MB","19","305.538515","324.946417","630.4849","2021-12-26"," 1026"
"MB","20","312.347928","392.404929","704.7529","2021-12-27","  928"
"MB","21","315.631157","465.775452","781.4066","2021-12-28","  433"
"MB","22","313.745889","539.885240","853.6311","2021-12-29","  510"
"MB","23","305.282087","607.039270","912.3214","2021-12-30"," 1776"
"MB","24","289.732861","658.857194","948.5901","2021-12-31"," 1232"
"MB","25","267.983956","689.453440","957.4374","2022-01-01"," 1297"
"MB","26","242.157289","697.891030","940.0483","2022-01-02"," 1006"
"MB","27","214.841098","687.987743","902.8288","2022-01-03"," 1881"
"MB","28","188.257319","665.916688","854.1740","2022-01-04"," 2268"
"MB","29","163.834475","637.633352","801.4678","2022-01-05"," 3691"
"MB","30","142.217871","607.488207","749.7061","2022-01-06"," 4782"
"MB","31","123.497685","578.035185","701.5329","2022-01-07"," 3387"
"MB","32","107.457661","550.448443","657.9061","2022-01-08"," 3311"
"MB","33"," 93.757208","525.053374","618.8106","2022-01-09"," 4413"
"MB","34"," 82.037687","501.745060","583.7827","2022-01-10","11752"
"MB","35"," 71.972833","480.251395","552.2242","2022-01-11"," 6044"
"MB","36"," 63.285990","460.272942","523.5589","2022-01-12","10649"
"MB","37"," 55.750670","441.544281","497.2950","2022-01-13","15328"
"MB","38"," 49.184169","423.852775","473.0369","2022-01-14","16074"
"MB","39"," 43.439496","407.037419","450.4769","2022-01-15","21377"
"MB","40"," 38.397746","390.979887","429.3776","2022-01-16","17644"
"MB","41"," 33.961765","375.594434","409.5562","2022-01-17","13079"
"MB","42"," 30.051227","360.818853","390.8701","2022-01-18","26494"
"MB","43"," 26.598888","346.607373","373.2063","2022-01-19","22071"
"MB","44"," 23.547784","332.925413","356.4732","2022-01-20","28484"
"MB","45"," 20.849186","319.745900","340.5951","2022-01-21","44818"
"MB","46"," 18.461042","307.046744","325.5078","2022-01-22","79041"
"MB","47"," 16.346820","294.809148","311.1560","2022-01-23","39611"
"MB","48"," 14.474616","283.016502","297.4911","2022-01-24","27049"
"MB","49"," 12.816447","271.653664","284.4701","2022-01-25","30745"
"MB","50"," 11.347700","260.706507","272.0542","2022-01-26","24308"
"MB","51"," 10.046672","250.161619","260.2083","2022-01-27","33613"
"MB","52","  8.894198","240.006135","248.9003","2022-01-28","26296"
