"Result","2.5%","50%","97.5%","date","day"
"AB","  655.000"," 1541.0","  3011.000","2021-11-30","  1"
"AB","  624.000"," 1477.0","  2890.000","2021-12-01","  2"
"AB","  600.000"," 1417.0","  2776.000","2021-12-02","  3"
"AB","  581.000"," 1373.0","  2682.025","2021-12-03","  4"
"AB","  563.000"," 1329.0","  2595.000","2021-12-04","  5"
"AB","  548.000"," 1295.0","  2526.000","2021-12-05","  6"
"AB","  535.000"," 1272.0","  2485.000","2021-12-06","  7"
"AB","  530.000"," 1250.0","  2447.000","2021-12-07","  8"
"AB","  525.000"," 1240.0","  2428.000","2021-12-08","  9"
"AB","  528.000"," 1249.0","  2450.000","2021-12-09"," 10"
"AB","  536.000"," 1265.0","  2471.000","2021-12-10"," 11"
"AB","  554.000"," 1304.0","  2547.000","2021-12-11"," 12"
"AB","  578.000"," 1362.0","  2652.000","2021-12-12"," 13"
"AB","  610.000"," 1438.0","  2817.000","2021-12-13"," 14"
"AB","  662.000"," 1558.0","  3041.000","2021-12-14"," 15"
"AB","  728.000"," 1708.0","  3351.025","2021-12-15"," 16"
"AB","  806.000"," 1916.0","  3747.025","2021-12-16"," 17"
"AB","  919.000"," 2179.0","  4250.000","2021-12-17"," 18"
"AB"," 1063.000"," 2516.0","  4912.000","2021-12-18"," 19"
"AB"," 1250.000"," 2942.0","  5769.000","2021-12-19"," 20"
"AB"," 1483.975"," 3484.0","  6784.000","2021-12-20"," 21"
"AB"," 1755.000"," 4172.0","  8136.000","2021-12-21"," 22"
"AB"," 2137.000"," 5033.0","  9777.000","2021-12-22"," 23"
"AB"," 2591.000"," 6121.0"," 11915.025","2021-12-23"," 24"
"AB"," 3165.975"," 7469.0"," 14541.025","2021-12-24"," 25"
"AB"," 3881.975"," 9135.0"," 17758.100","2021-12-25"," 26"
"AB"," 4730.000","11178.0"," 21798.075","2021-12-26"," 27"
"AB"," 5815.975","13742.5"," 26836.000","2021-12-27"," 28"
"AB"," 7166.000","16768.0"," 32709.050","2021-12-28"," 29"
"AB"," 8736.000","20424.5"," 39732.000","2021-12-29"," 30"
"AB","10343.000","24445.5"," 47515.075","2021-12-30"," 31"
"AB","11901.000","28064.0"," 54717.175","2021-12-31"," 32"
"AB","12998.950","30489.0"," 59882.125","2022-01-01"," 33"
"AB","13742.975","32244.0"," 63468.025","2022-01-02"," 34"
"AB","14511.975","34126.0"," 66471.050","2022-01-03"," 35"
"AB","15378.975","36097.5"," 70787.025","2022-01-04"," 36"
"AB","16369.975","38620.0"," 75152.200","2022-01-05"," 37"
"AB","17597.000","41172.5"," 80173.300","2022-01-06"," 38"
"AB","18761.975","43890.5"," 85629.025","2022-01-07"," 39"
"AB","19978.975","46822.5"," 91186.250","2022-01-08"," 40"
"AB","21136.875","49810.5"," 97472.075","2022-01-09"," 41"
"AB","22398.925","52535.5","102981.250","2022-01-10"," 42"
"AB","23768.875","55659.0","108525.050","2022-01-11"," 43"
"AB","24882.975","58660.5","114241.000","2022-01-12"," 44"
"AB","26237.000","61471.5","119482.250","2022-01-13"," 45"
"AB","27072.975","64307.5","125513.075","2022-01-14"," 46"
"AB","28343.950","66681.0","130655.125","2022-01-15"," 47"
"AB","29503.000","69115.5","134277.025","2022-01-16"," 48"
"AB","30512.975","71537.5","139180.100","2022-01-17"," 49"
"AB","30896.950","73139.0","142377.525","2022-01-18"," 50"
"AB","31808.925","75135.0","145778.150","2022-01-19"," 51"
"AB","32657.950","76181.0","148656.100","2022-01-20"," 52"
"AB","32929.975","77330.0","150255.350","2022-01-21"," 53"
"AB","33289.850","77848.5","152216.450","2022-01-22"," 54"
"AB","33440.950","78493.0","153283.125","2022-01-23"," 55"
"AB","33354.925","78500.5","152854.025","2022-01-24"," 56"
"AB","33288.000","78389.5","152527.125","2022-01-25"," 57"
