date,Total,sympinfect,Scenario,hosp,Total.Fraser,Total.Coastal,Total.Island,Total.Interior,Total.Northern
2022-10-01,8907.602725065692,5018.849958472726,worst case,62.94942325752895,2520.025866446604,1179.5067203921255,1983.8182080248127,1912.3822367325024,1311.8696934696466
2022-10-02,8887.326014083028,5007.425361618295,worst case,62.80612911865514,2451.901415983388,1162.9408156723264,2032.801684520069,1957.2790745710663,1282.4030233361775
2022-10-03,8892.857175288447,5010.541808213742,worst case,62.84521745909558,2517.084927478524,1148.4353691954827,1994.0424192293938,1978.1440381832858,1255.150421201761
2022-10-04,8944.47736133557,5039.626397703789,worst case,63.210013806710954,2594.716307581362,1180.3500536964182,1922.0571370951047,2000.9624108991961,1246.391452063489
2022-10-05,9043.619618252817,5095.486557543634,worst case,63.91064540042007,2608.1564675316286,1263.7645917868983,1890.4059081193525,2038.0906413898438,1243.2020094250931
2022-10-06,9192.642896074962,5179.451401373558,worst case,64.96378277984685,2615.7629136410264,1315.3152389571303,1996.157207619807,2084.2781898393146,1181.1293460176835
2022-10-07,9396.21047751515,5294.14838317569,worst case,66.40238104709225,2678.8426012726363,1340.5909287216032,2067.7712227696893,2180.1628118643516,1128.8429128868688
2022-10-08,9660.63689886966,5443.135330033985,worst case,68.27106460113973,2786.9229162928527,1372.5511770418443,2090.6548764331756,2279.8376218362205,1130.6703072655662
2022-10-09,9993.48005149405,5630.670618066775,worst case,70.62324454670062,2878.423156904915,1443.366059985574,2247.164836096546,2296.074821803016,1128.4511767039996
2022-10-10,10403.416009405546,5861.642645989744,worst case,73.52023410938467,2970.4126895643044,1611.30915219526,2401.592533057429,2378.6555670922016,1041.4460674963507
2022-10-11,10900.247345304313,6141.574520648544,worst case,77.03130740445738,3081.015690973888,1771.518956531396,2582.795420784814,2500.803747022275,964.1135299919404
2022-10-12,11494.95756506293,6476.654727283694,worst case,81.23408412167869,3193.6107515257095,1852.707932238769,2863.8610855339352,2592.5221700915235,992.2556256729927
2022-10-13,12199.772109239439,6873.771499882593,worst case,86.2149606188512,3277.8830699972063,2001.6479878842458,3152.3520649768466,2734.3104652698657,1033.5785211112748
2022-10-14,13028.204126346523,7340.538611414805,worst case,92.06943339840342,3456.2808504642517,2213.7923258096166,3422.8590607974966,2889.6269155348014,1045.6449737403586
2022-10-15,13995.069743328871,7885.303977744586,worst case,98.90220702281592,3751.130674227568,2442.196737431937,3678.4982096145186,3044.929949492875,1078.3141725619723
2022-10-16,15116.45659705544,8517.13192719054,worst case,106.82697172881505,4070.1357043618377,2727.9347599778434,3933.9872110958413,3220.4887440282805,1163.9101775916363
2022-10-17,16409.625922723306,9245.748033762413,worst case,115.96571149277545,4429.710701454518,3277.5669149855057,4213.484271299845,3355.7161869848474,1133.1478479985894
2022-10-18,17892.827560333506,10081.434885442446,worst case,126.44739669405344,4928.967230251735,4006.0534860357634,4394.264928531809,3446.73033790838,1116.8115776058187
2022-10-19,19584.998304289802,11034.862123967072,worst case,138.40585237209638,5509.444834489233,4805.177960357261,4479.214597615496,3565.006536493011,1226.1543753348026
2022-10-20,21505.31615929618,12116.835297257881,worst case,151.97660818315498,5977.673115634321,5755.332535245433,4680.1463758514265,3790.491987705387,1301.6721448596122
2022-10-21,23672.57474061818,13337.943374996874,worst case,167.29247732943463,6761.829020400241,6789.133771484397,4788.789316625201,4003.419973492583,1329.4026586157588
2022-10-22,26104.3484163015,14708.088361018159,worst case,184.47765667587626,7741.325837759133,8024.554556796659,4875.300197171137,4123.3586065452055,1339.8092180293627
2022-10-23,28815.92317337361,16235.882906528348,worst case,203.6401712542422,8550.592445238803,9511.390418308629,5176.120966197886,4210.038759195487,1367.7805844328034
2022-10-24,31818.95496628855,17927.894377443186,worst case,224.8623929027301,9579.525364453024,10829.914448885092,5558.507917170265,4417.307760434966,1433.699475345201
2022-10-25,35119.89473340992,19787.757454466064,worst case,248.18990996446567,10830.843469968198,12293.118522827757,5945.449595978793,4631.765265253497,1418.7178793816768
2022-10-26,38718.169755529394,21815.14944788308,worst case,273.6186750717154,12055.777709006923,14181.619792759482,6312.275210455067,4812.66418005104,1355.8328632568828
2022-10-27,42604.191623220795,24004.66791780825,worst case,301.0809275865204,13189.89829420939,16302.586671769846,6656.484101936798,5040.221137394836,1415.0014179099248
2022-10-28,46757.34808106022,26344.699210100127,worst case,330.4310021002382,14862.103834997328,18467.289577535248,6991.774641652548,5049.384847448002,1386.7951794270923
2022-10-29,51144.115706541765,28816.35507470484,worst case,361.43199086366855,17004.641602758016,20626.401739718953,7137.723485249397,5015.074755530186,1360.2741232852115
2022-10-30,55716.48916044074,31392.58765124843,worst case,393.7446434060902,19571.542925879512,22466.913416381263,7137.578211340834,5085.970438333508,1454.4841685056238
2022-10-31,60411.16212728743,34037.72798270924,worst case,426.9215782972376,23132.319608713544,23322.354773208313,7492.821419300706,4984.968525721758,1478.6978003431136
2022-11-01,65149.35571829077,36707.38933171911,worst case,460.40607048242094,26470.437228376733,23740.11119373265,7964.045412678266,5393.686517436798,1581.0753660663297
2022-11-02,69838.50670447895,39349.418389220584,worst case,493.5439819114291,29115.67117898814,24249.20526454118,8340.954062697509,6363.108714067572,1769.5674841845532
2022-11-03,74374.5279000678,41905.168852254916,worst case,525.599735514219,31577.97284825971,24855.83803754938,8742.32060232628,7293.5877817865285,1904.808630145909
2022-11-04,78646.23094954321,44311.993374428406,worst case,555.7875707367335,33819.4237622362,25230.312275476692,9366.023615379952,8166.752581668095,2063.7187147822738
2022-11-05,82540.73179564014,46506.289192617965,worst case,583.3097436158515,36665.50463245347,24814.029168918332,9877.984588468984,8940.631030767772,2242.5823750315767
2022-11-06,85949.91582135372,48427.140810498386,worst case,607.4022154987248,40298.2777262856,23600.859509215494,10007.078082369002,9661.174632219318,2382.5258712643044
2022-11-07,88777.22424596151,50020.14368763644,worst case,627.3826120423863,43641.110552394995,22305.934671438426,10000.762404737357,10368.21666188794,2461.1999555027946
2022-11-08,90944.10154338737,51241.03693690526,worst case,642.6957866812772,46093.15026715129,21320.29997037513,10389.146919855148,10562.839683985621,2578.664702020178
2022-11-09,92395.3600675778,52058.72593906186,worst case,652.9517320702973,47501.46003609391,20705.46214301557,10773.961802713746,10628.660228163797,2785.8158575907796
2022-11-10,93102.49585138145,52457.150577959444,worst case,657.949012610205,48080.1566186002,20335.88524832778,10648.014558927698,11013.27892736414,3025.1604981616297
2022-11-11,93065.36410116235,52436.22927188001,worst case,657.6866050542128,48180.228929008204,20061.76994425923,10438.536236101694,11224.074894218997,3160.7540975742277
2022-11-12,92310.62632805094,52010.98403383421,worst case,652.3529244900424,47625.79703856656,19777.44760858123,10589.019696767067,11162.929040171513,3155.432943964578
2022-11-13,90889.00678287822,51209.9946525749,worst case,642.3064357520083,46974.26684946057,19140.689433273183,10770.411591247797,10868.031622498413,3135.60728639825
2022-11-14,88870.37043799093,50072.62545814505,worst case,628.040869852918,46719.3005507641,18034.59053168958,10490.674063064776,10392.088609214969,3233.716683257506
2022-11-15,86338.01999964507,48645.81206237399,worst case,610.1449213581284,45481.18979097381,17278.34903096674,10359.772125611127,9878.857346821342,3339.851705272053
2022-11-16,83382.81158183448,46980.74592698485,worst case,589.2606642522863,43217.57489132908,16807.917534738954,10426.532926717888,9507.05436589146,3423.7318631570956
2022-11-17,80097.57089649525,45129.72825297131,worst case,566.0440915348779,40769.28612263468,15975.661221180006,10385.008585972026,9425.7584296644,3541.8565370441406
2022-11-18,76572.36290408157,43143.50473892223,worst case,541.1316861622375,38593.67721120052,14437.198827077915,10093.458043544599,9690.30992492483,3757.7188973337156
2022-11-19,72890.84394915245,41069.21024865843,worst case,515.1146418375828,35473.77882434527,13242.237968095802,10000.0707365718,10160.135165918375,4014.6212542212065
2022-11-20,69127.78125254012,38948.97120774591,worst case,488.52133343069937,32232.04899797643,12334.12919785536,10185.780955931361,10262.978719218076,4112.843381558896
2022-11-21,65347.65592683804,36819.11849434016,worst case,461.80744458330804,30031.323189817263,11212.568413014027,10237.547194430932,9827.354886853733,4038.8622427220857
2022-11-22,61604.19749823247,34709.92517276521,worst case,435.35267820647476,28010.81222925493,10201.234696586082,9685.80915052046,9592.245236513474,4114.096185357523
2022-11-23,57940.6207577874,32645.73994367948,worst case,409.4624302925486,25647.38239215905,9657.237551895247,9292.091838422626,9256.769271084833,4087.1397042256513
2022-11-24,54390.354424928046,30645.39769816169,worst case,384.3729393304929,23045.50798980967,9338.300943148464,9199.508958344635,8887.509653177092,3919.5268804481843
2022-11-25,50978.11020217173,28722.821859941083,worst case,360.25884124303457,20617.823484714685,8727.79749462194,8875.572265175753,8877.219073802984,3879.697883856372
2022-11-26,47721.06000687754,26887.687678283328,worst case,337.2414888034555,18532.10535979904,7971.617700146655,8452.396489869849,8752.51918645669,4012.4212706053045
2022-11-27,44630.050467962545,25146.106517241155,worst case,315.397534401371,16681.5791830737,7486.419844529521,7973.19158842277,8447.281119626721,4041.578732309832
2022-11-28,41710.76316590516,23501.279574805576,worst case,294.7671293800037,15129.498181229885,7343.648583930164,7414.1428048057705,8004.905205648626,3818.568390290721
2022-11-29,38964.770826564534,21954.092978855933,worst case,275.3613880861462,14081.394142363431,7154.810947352167,6788.451307635831,7392.043270536614,3548.0711586764955
2022-11-30,36390.46308795716,20503.639396025057,worst case,257.1689302010722,12885.673033816134,6888.204278766238,6082.718194979287,7088.947264540141,3444.9203158553673
2022-12-01,33983.83684223219,19147.663337570215,worst case,240.16146603357902,11704.764523235266,6625.425333898225,5448.977471185937,6844.026022522814,3360.6434913899448
2022-12-02,31739.152763755767,17882.931069892362,worst case,224.29843615935363,10946.214447194803,6402.549771518208,4935.809028586074,6351.014155172613,3103.565361284066
2022-12-03,29649.471139645524,16705.53251990151,worst case,209.5307980989544,10153.156809929726,6154.130380652207,4242.126062751195,6229.983703503509,2870.07418280889
2022-12-04,27707.079235873636,15611.12206778838,worst case,195.80404648502537,9445.167029606664,5830.6356595633,3642.1056975044044,6073.011483737432,2716.159365461836
